District Name	District Code	Subject	M+E #	M+E %	E #	E %	M #	M %	PM #	PM %	NM #	NM %	No. of Students Included	Avg. Scaled Score	SGP	Included In SGP
Abby Kelley Foster Charter Public (District)	04450000	ELA	         346	49	          37	5	         309	44	         303	43	          50	7	         699	     499.4	          51.4	         578
Abby Kelley Foster Charter Public (District)	04450000	MATH	         282	40	          23	3	         259	37	         357	51	          60	9	         699	     495.9	          51.3	         579
Abby Kelley Foster Charter Public (District)	04450000	SCI	          80	34	           4	2	          76	32	         135	57	          21	9	         236	     492.6		
Abington	00010000	ELA	         545	57	          83	9	         462	48	         352	37	          67	7	         964	     503.3	          48.5	         787
Abington	00010000	MATH	         470	49	          58	6	         412	43	         414	43	          78	8	         962	     499.3	          46.2	         785
Abington	00010000	SCI	         145	44	          11	3	         134	41	         147	45	          38	12	         330	     496.5		
Academy Of the Pacific Rim Charter Public (District)	04120000	ELA	         122	40	          16	5	         106	35	         159	52	          24	8	         305	     496.5	          54.8	         268
Academy Of the Pacific Rim Charter Public (District)	04120000	MATH	          99	32	          11	4	          88	29	         175	57	          31	10	         305	     491.4	          46.4	         266
Academy Of the Pacific Rim Charter Public (District)	04120000	SCI	          47	31	           3	2	          44	29	          87	58	          17	11	         151	     491.6		
Acton-Boxborough	06000000	ELA	       1,919	74	         510	20	       1,409	54	         571	22	          97	4	       2,587	     513.2	          52.5	       2,076
Acton-Boxborough	06000000	MATH	       1,864	72	         663	26	       1,201	46	         600	23	         119	5	       2,583	     514.1	          57.9	       2,075
Acton-Boxborough	06000000	SCI	         669	72	         179	19	         490	53	         217	24	          37	4	         923	     512.2		
Acushnet	00030000	ELA	         374	57	          46	7	         328	50	         243	37	          36	6	         653	     503.2	          51.6	         515
Acushnet	00030000	MATH	         357	54	          50	8	         307	47	         263	40	          38	6	         658	     501.8	          57.0	         513
Acushnet	00030000	SCI	          99	47	          12	6	          87	41	         101	48	          11	5	         211	     500.1		
Advanced Math and Science Academy Charter (District)	04300000	ELA	         300	75	          69	17	         231	58	          92	23	           7	2	         399	     512.7	          54.2	         381
Advanced Math and Science Academy Charter (District)	04300000	MATH	         287	72	          83	21	         204	51	         106	27	           7	2	         400	     512.9	          54.3	         380
Advanced Math and Science Academy Charter (District)	04300000	SCI	         100	65	          22	14	          78	51	          47	31	           7	5	         154	     508.4		
Agawam	00050000	ELA	         838	50	          78	5	         760	45	         681	40	         164	10	       1,683	     499.2	          47.0	       1,368
Agawam	00050000	MATH	         905	54	         139	8	         766	45	         652	39	         127	8	       1,684	     501.5	          46.7	       1,366
Agawam	00050000	SCI	         279	46	          37	6	         242	40	         275	45	          53	9	         607	     497.8		
Alma del Mar Charter School (District)	04090000	ELA	         138	49	          25	9	         113	40	         118	42	          25	9	         281	     500.4	          37.3	         223
Alma del Mar Charter School (District)	04090000	MATH	         153	54	          27	10	         126	45	         111	40	          17	6	         281	     501.2	          45.8	         223
Alma del Mar Charter School (District)	04090000	SCI	          25	28	           1	1	          24	27	          53	60	          11	12	          89	     489.0		
Amesbury	00070000	ELA	         555	57	          99	10	         456	46	         333	34	          93	9	         981	     502.2	          53.1	         781
Amesbury	00070000	MATH	         503	52	          77	8	         426	44	         358	37	         112	12	         973	     499.6	          59.0	         771
Amesbury	00070000	SCI	         180	57	          23	7	         157	50	         113	36	          22	7	         315	     502.7		
Amherst	00080000	ELA	         310	51	          65	11	         245	40	         229	37	          73	12	         612	     500.9	          48.3	         421
Amherst	00080000	MATH	         293	48	          57	9	         236	38	         227	37	          93	15	         613	     498.6	          54.1	         423
Amherst	00080000	SCI	          69	43	          12	7	          57	35	          68	42	          25	15	         162	     496.2		
Amherst-Pelham	06050000	ELA	         212	55	          41	11	         171	45	          99	26	          72	19	         383	     499.1	          45.8	         347
Amherst-Pelham	06050000	MATH	         179	47	          50	13	         129	34	         138	36	          64	17	         381	     497.3	          38.8	         345
Amherst-Pelham	06050000	SCI	          93	51	          21	12	          72	40	          59	33	          29	16	         181	     499.5		
Andover	00090000	ELA	       2,032	71	         556	19	       1,476	51	         723	25	         114	4	       2,869	     511.6	          56.8	       2,271
Andover	00090000	MATH	       1,915	67	         519	18	       1,396	49	         818	29	         135	5	       2,868	     509.4	          56.5	       2,274
Andover	00090000	SCI	         729	74	         208	21	         521	53	         224	23	          26	3	         979	     513.0		
Argosy Collegiate Charter School (District)	35090000	ELA	          91	30	           4	1	          87	29	         148	49	          65	21	         304	     487.4	          39.6	         274
Argosy Collegiate Charter School (District)	35090000	MATH	         117	39	          10	3	         107	35	         150	50	          35	12	         302	     493.7	          52.1	         272
Argosy Collegiate Charter School (District)	35090000	SCI	          13	13	           0	0	          13	13	          60	61	          25	26	          98	     482.7		
Arlington	00100000	ELA	       1,988	71	         514	18	       1,474	53	         689	25	         114	4	       2,791	     511.6	          53.0	       2,173
Arlington	00100000	MATH	       1,921	69	         458	16	       1,463	52	         767	27	         111	4	       2,799	     509.9	          57.9	       2,178
Arlington	00100000	SCI	         626	69	         221	24	         405	45	         232	26	          45	5	         903	     512.7		
Ashburnham-Westminster	06100000	ELA	         590	53	          70	6	         520	46	         467	42	          66	6	       1,123	     501.8	          50.7	         911
Ashburnham-Westminster	06100000	MATH	         582	52	          61	5	         521	46	         482	43	          59	5	       1,123	     500.3	          50.2	         912
Ashburnham-Westminster	06100000	SCI	         201	51	          30	8	         171	43	         176	45	          18	5	         395	     501.7		
Ashland	00140000	ELA	         812	66	         202	16	         610	50	         362	29	          54	4	       1,228	     509.1	          60.7	         992
Ashland	00140000	MATH	         785	64	         210	17	         575	47	         369	30	          74	6	       1,228	     507.9	          63.1	         990
Ashland	00140000	SCI	         241	61	          57	14	         184	46	         129	32	          27	7	         397	     506.2		
Athol-Royalston	06150000	ELA	         253	37	          26	4	         227	33	         327	48	         105	15	         685	     492.7	          47.7	         517
Athol-Royalston	06150000	MATH	         247	36	          26	4	         221	32	         321	47	         116	17	         684	     491.7	          52.1	         517
