District Name	District Code	dem1	dem9	dem2	dem6	dem8	dem4	dem5	dem7	dem3
Abby Kelley Foster Charter Public (District)	4450000	0.2	2.5	22.7	3.4	19.7	0.1	47.5	52.5	51.3
Abington	10000	0.4	0.9	7.5	2.2	85.3	0.1	50.7	49.3	3.6
Academy Of the Pacific Rim Charter Public (District)	4120000	0	2.3	27	1.1	8.9	0.2	50.8	49.2	60.5
Acton-Boxborough	6000000	0.2	4.6	5.2	33	54.6	0.1	51.9	48.1	2.4
Acushnet	30000	0.1	2.6	3.3	0.4	92.8	0	51.3	48.7	0.8
Adams-Cheshire	6030000	0.2	2.3	2.9	0.9	89.8	0.1	51.5	48.5	3.8
Advanced Math and Science Academy Charter (District)	4300000	0.3	7.1	5.7	17.4	67.7	0	52	48	1.8
Agawam	50000	0	2.7	8	3.2	83.8	0	51.4	48.6	2.2
Alma del Mar Charter School (District)	4090000	0.7	0.2	59	0	24.3	0	44.4	55.6	15.9
Amesbury	70000	0.1	3.9	7.8	1.2	85	0.1	52.7	47.3	1.8
Amherst	80000	0.3	8.2	21.4	14.4	47	0	52.6	47.3	8.7
Amherst-Pelham	6050000	0.1	8.6	16.7	9.1	57.9	0.1	50.7	49.2	7.5
Andover	90000	0.2	3	6.2	18.4	70	0	49.8	50.1	2.2
Argosy Collegiate Charter School (District)	35090000	0.2	5.6	18.7	1.7	63.1	0	53.2	46.8	10.7
Arlington	100000	0.1	6.2	6.2	12.9	71	0.1	50.9	49.1	3.5
Ashburnham-Westminster	6100000	0	2.6	4.8	0.9	91	0	50.4	49.6	0.6
Ashland	140000	0.6	3.2	11.7	14.8	67.1	0	49.4	50.6	2.5
Assabet Valley Regional Vocational Technical	8010000	0.3	2.6	16.5	0.5	79.1	0	59.9	40	1
Athol-Royalston	6150000	0	3.4	9.2	1.4	84.6	0	52.8	47.2	1.4
Atlantis Charter (District)	4910000	0.2	3.8	10.7	1.8	77.9	0.1	47.8	52.2	5.6
Attleboro	160000	0.2	6.2	14.8	4.7	67.7	0.1	52.6	47.3	6.3
Auburn	170000	0.1	3.5	8.9	3.8	81.9	0	50.5	49.5	1.8
Avon	180000	0.3	5.8	8.9	4.8	49.7	0	52.6	47.4	30.5
Ayer Shirley School District	6160000	0.8	5.5	10.5	2.9	75.9	0.4	51.8	48.2	4
Barnstable	200000	0.4	5.3	15	1.9	69.4	0.3	51.2	48.8	7.8
Barnstable Community Horace Mann Charter Public (District)	4270000	0.3	4.1	28.6	3.4	45.5	0	50	50	17.9
Baystate Academy Charter Public School (District)	35020000	0	1.2	68.4	0.6	5	0.2	49.8	50.2	24.6
Bedford	230000	0	5.5	5.8	17.1	65.3	0.1	51.1	48.9	6.2
Belchertown	240000	0.2	3.2	4.5	1.6	88.4	0.2	50.6	49.4	2
Bellingham	250000	0.1	2.1	4.5	2.7	88.2	0.4	50.3	49.6	1.9
Belmont	260000	0.1	7.1	4.2	20.1	65.1	0.1	51	49	3.4
Benjamin Banneker Charter Public (District)	4200000	0.3	2	11	0.8	2	0.6	49.2	50.8	83.3
Benjamin Franklin Classical Charter Public (District)	4470000	0	4.4	3.5	22.7	67.1	0	47.1	52.9	2.4
Bentley Academy Charter School (District)	35110000	0	2.9	57.5	2.4	25.4	0	46.6	53.4	11.8
Berkley	270000	0.1	3.8	1.7	0.1	93.8	0.1	48.9	51.1	0.3
Berkshire Arts and Technology Charter Public (District)	4140000	0.3	5.8	9.3	2.9	69.8	0	52.6	47.4	11.9
Berkshire Hills	6180000	0.2	5.2	8.7	2.7	81.3	0.2	51.3	48.7	1.7
Berlin	280000	0	4.4	4.4	2.2	88.5	0	55.7	44.3	0.5
Berlin-Boylston	6200000	0	2.6	3.4	3.6	87.8	0.2	53.5	46.5	2.4
Beverly	300000	0	3.5	13.4	2.4	77.2	0	52	48	3.4
Billerica	310000	0.1	3.1	6.6	7.9	77.7	0.1	51.2	48.8	4.5
Blackstone Valley Regional Vocational Technical	8050000	0	1.4	4.4	2	91.4	0	49.6	50.4	0.9
Blackstone-Millville	6220000	0	4.1	6.9	0.9	87.1	0	52.1	47.9	1.1
Blue Hills Regional Vocational Technical	8060000	0.6	4.4	12.7	1.4	58.1	0.1	56.1	43.9	22.7
Boston	350000	0.3	3.1	42.1	8.9	14.6	0.1	51.6	48.3	30.9
Boston Collegiate Charter (District)	4490000	0.1	2.2	18.3	2.3	45.3	0	49.9	50.1	31.7
Boston Day and Evening Academy Charter (District)	4240000	0.5	2.6	43	1	5.7	0	48.9	50.8	47.3
Boston Green Academy Horace Mann Charter School (District)	4110000	0.2	2.5	40.1	2.7	9	0.4	50.8	49.2	45
Boston Preparatory Charter Public (District)	4160000	0.2	2.9	28.9	1.7	1.1	0.2	49.2	50.8	65
Boston Renaissance Charter Public (District)	4810000	0	3.8	31.3	0.3	2	0	48.5	51.5	62.6
Bourne	360000	0.9	3.2	5.9	1.6	86.8	0.2	48.9	51.1	1.5
Boxford	380000	0.1	5.6	2.2	4.5	87	0	53.2	46.8	0.6
Boylston	390000	0.3	3.7	6	5.4	83.2	0	51.7	48.3	1.3
Braintree	400000	0.1	1.5	4.8	19.8	68.8	0.1	50.3	49.7	4.8
Brewster	410000	0	5.2	6.5	0.6	85.8	0	52.1	47.9	1.9
Bridge Boston Charter School (District)	4170000	0	3.2	29.2	1.2	0.9	0.3	50.4	49.6	65.2
Bridgewater-Raynham	6250000	0.1	4.4	1.1	2	87	0.1	51.5	48.5	5.2
Brimfield	430000	1	0	2	1.4	93.9	0	48.5	51.5	1.7
Bristol County Agricultural	9100000	0	1.3	4	0	93.2	0.2	27.5	72	1.3
Bristol-Plymouth Regional Vocational Technical	8100000	0.7	3.4	6.7	0.6	85.4	0	58.2	41.6	3.2
Brockton	440000	0.4	4.5	15.8	2	17.7	0.2	52.1	47.9	59.4
Brooke Charter School (District)	4280000	0.1	1.6	38.5	1.8	4.5	0	48.4	51.6	53.4
Brookfield	450000	0	3.5	6	0	90.2	0	50.6	49.4	0.3
Brookline	460000	0	9.5	10.7	20.1	53.9	0.1	50.7	49.1	5.8
